,title,price,rating,post_url,img_url,seller_reputation
14,Cpu Dell I5 6ta Generación 8gb Ddr4 Hdd 500 Modelo 7050,157.99,4.7,https://articulo.mercadolibre.com.ve/MLV-790123654-cpu-dell-i5-6ta-generacion-8gb-ddr4-hdd-500-modelo-7050-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_654098-MLV75261613168_032024-E.webp,5
15,Cpu Lenovo Mini I3,119.00,4.7,https://articulo.mercadolibre.com.ve/MLV-565750789-cpu-lenovo-mini-i3-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_886896-MLV79858564736_102024-E.webp,5
16,Servidor Hp Proliant Dl380 9na Generación ,7.350.00,none,https://articulo.mercadolibre.com.ve/MLV-739684092-servidor-hp-proliant-dl380-9na-generacion-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_707766-MLV54098325570_032023-E.webp,5
17,Computadora Pc Cpu Intel Core I5 8gb 500gb 4ta Gen Sff Refu,134.99,4.8,https://articulo.mercadolibre.com.ve/MLV-706618239-computadora-pc-cpu-intel-core-i5-8gb-500gb-4ta-gen-sff-refu-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_611988-MLV71061902144_082023-E.webp,5
18,Pc Gamer Amd Ryzen 5 5600g 16gb Ram 256gb Ssd Fuente 700w,457.60,5.0,https://articulo.mercadolibre.com.ve/MLV-757031395-pc-gamer-amd-ryzen-5-5600g-16gb-ram-256gb-ssd-fuente-700w-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_721630-MLV79213432922_092024-E.webp,5
19,Computadora Pc Gamer Intel Core I7 16ram 512ssd Fuente 600w,339.99,5.0,https://articulo.mercadolibre.com.ve/MLV-753437571-computadora-pc-gamer-intel-core-i7-16ram-512ssd-fuente-600w-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_657877-MLV78090631439_072024-E.webp,4
20,Computador Gaming I9 14900k Ram 64gb Ssd 2tb Rtx4070 12gb ,3.290.00,none,https://articulo.mercadolibre.com.ve/MLV-789172674-computador-gaming-i9-14900k-ram-64gb-ssd-2tb-rtx4070-12gb-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_741746-MLV75094726714_032024-E.webp,4
21,Computador Lenovo Mini I5,149.00,4.8,https://articulo.mercadolibre.com.ve/MLV-566925528-computador-lenovo-mini-i5-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_942671-MLV43960013140_102020-E.webp,5
22,Computador Gamer Diseño Ryzen 7 5700g Ram 32gb M.2 1tb Ssd,760.00,none,https://articulo.mercadolibre.com.ve/MLV-781858668-computador-gamer-diseno-ryzen-7-5700g-ram-32gb-m2-1tb-ssd-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_781427-MLV74865022246_032024-E.webp,4
23,Computadora Gamer ,450.00,4.8,https://articulo.mercadolibre.com.ve/MLV-780694984-computadora-gamer-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_950770-MLV75441461414_042024-E.webp,4
